asset,position_value,weight
0005.HK,7735.999755859376,0.0049147375807279785
0388.HK,20580.00030517578,0.013074625659680449
0700.HK,49760.00061035156,0.03161289461410727
AAPL,4150.84014892578,0.0026370592961909717
GC=F,16606.500244140625,0.010550231826523588
MSFT,7518.9752197265625,0.004776860295653853
TLT,2589.0030670166016,0.0016448127031608183
USDJPY=X,1465099.9450683594,0.9307887780239551
^GSPC,,
^HSI,,
