date,portfolio,hs_var,fhs_var,hs_es,fhs_es
2024-07-02,0.006310453991473192,-0.013707170031498806,-0.014108938984693214,-0.015851284659997213,-0.017377054546069363
2024-07-03,0.010867512109245641,-0.013707170031498806,-0.014230668504708806,-0.015851284659997213,-0.017526980809941695
2024-07-04,0.0008799067379131544,-0.013707170031498806,-0.015362777979060549,-0.015851284659997213,-0.018921325778707605
2024-07-05,0.005966481977331265,-0.013707170031498806,-0.014904809238369397,-0.015851284659997213,-0.018357275725332318
2024-07-08,-0.006873138690499815,-0.013707170031498806,-0.014919290358736457,-0.015851284659997213,-0.0183751111712705
2024-07-09,-0.00037103517389060225,-0.013707170031498806,-0.01508281087056269,-0.015851284659997213,-0.018576508658104087
2024-07-10,0.005236119351361354,-0.013707170031498806,-0.014625147152150767,-0.015851284659997213,-0.01801283428065948
2024-07-11,0.0052494326602755825,-0.013707170031498806,-0.014548522514650383,-0.015851284659997213,-0.017918460741525068
2024-07-12,0.002183831228120792,-0.013707170031498806,-0.014477989275833124,-0.015851284659997213,-0.01783158957852917
2024-07-15,-0.001354815047803782,-0.013707170031498806,-0.014102446243042289,-0.015851284659997213,-0.01736905786212707
2024-07-16,-0.0007058110149904505,-0.013707170031498806,-0.013698751378688409,-0.015851284659997213,-0.016871853381658624
2024-07-17,-0.0065936269619148585,-0.013707170031498806,-0.01328867991489416,-0.015851284659997213,-0.01636679526198924
2024-07-18,-0.007807122970394011,-0.013707170031498806,-0.01352034357949107,-0.015851284659997213,-0.016652120199634107
2024-07-19,-0.009814343141052806,-0.013707170031498806,-0.013978302721436933,-0.015851284659997213,-0.017216158430864534
2024-07-22,0.005005953037684762,-0.013707170031498806,-0.014862815051258532,-0.015851284659997213,-0.018305554240050186
2024-07-23,-0.0011477036129319816,-0.013707170031498806,-0.014742322809276833,-0.015851284659997213,-0.018157151850361937
2024-07-24,-0.010172404846280889,-0.013707170031498806,-0.014311013306466044,-0.015851284659997213,-0.017625936231334006
2024-07-25,-0.019266558333484726,-0.013707170031498806,-0.015248511529008453,-0.015851284659997213,-0.018780591288502835
2024-07-26,0.007703066190170193,-0.015277499887312352,-0.023316388729979088,-0.01724521334677376,-0.023765110295195596
2024-07-29,0.003184587753175155,-0.015277499887312352,-0.023355444621475395,-0.01724521334677376,-0.02380491781341104
2024-07-30,1.58076698775593e-05,-0.015277499887312352,-0.022773555610741035,-0.01724521334677376,-0.02321183040696014
2024-07-31,0.006569813625622589,-0.015277499887312352,-0.022079784647713506,-0.01724521334677376,-0.02250470789125279
2024-08-01,-0.0035012056385510496,-0.015277499887312352,-0.021984525078767744,-0.01724521334677376,-0.022407615061445996
2024-08-02,-0.006988188852076085,-0.015277499887312352,-0.021481050805521103,-0.01724521334677376,-0.02189445147624999
2024-08-05,-0.0186106256712422,-0.015277499887312352,-0.021496403401588825,-0.01724521334677376,-0.021910099531490975
2024-08-06,-0.0018437932438028,-0.016249978279370317,-0.025207343977575236,-0.018294532051915693,-0.025692456787091287
2024-08-07,0.0028115092284542284,-0.016249978279370317,-0.024479764038401748,-0.018294532051915693,-0.024950874644879117
2024-08-08,0.010262168068253402,-0.016249978279370317,-0.023830474181471228,-0.018294532051915693,-0.024289089269699384
2024-08-09,0.007602631598774598,-0.016249978279370317,-0.02439151448612742,-0.018294532051915693,-0.02486092673881232
2024-08-12,0.006667860173451752,-0.016249978279370317,-0.02434746383896395,-0.018294532051915693,-0.02481602834135729
2024-08-13,0.006002853856314161,-0.016249978279370317,-0.024146177490013354,-0.018294532051915693,-0.02461086825678649
2024-08-14,-0.004245434714746631,-0.016249978279370317,-0.023853124493809965,-0.018294532051915693,-0.024312175485029917
2024-08-15,0.002595214951356236,-0.016249978279370317,-0.023351553408890936,-0.018294532051915693,-0.023800951714830224
2024-08-16,0.010964565164957439,-0.016249978279370317,-0.02272634436836275,-0.018294532051915693,-0.02316371058895202
2024-08-19,0.0006352649844442806,-0.016249978279370317,-0.023564373683051858,-0.018294532051915693,-0.024017867693846524
2024-08-20,0.0006659802529446707,-0.016249978279370317,-0.022851633865269744,-0.018294532051915693,-0.023291411269675186
2024-08-21,-0.002885798968791496,-0.016249978279370317,-0.022161290239344433,-0.018294532051915693,-0.022587782049829225
2024-08-22,-0.005363335855151531,-0.016249978279370317,-0.02159836280273873,-0.018294532051915693,-0.02201402113110147
