date,0700.HK,0005.HK,0388.HK,AAPL,MSFT,TLT,USDJPY=X,GC=F,^HSI,^GSPC
2023-06-26,327.094482421875,55.13300704956055,279.7925109863281,183.4334259033203,323.5686340332031,95.19376373291016,143.54100036621094,1923.699951171875,18794.130859375,4328.81982421875
2023-06-27,335.54705810546875,55.965553283691406,282.7949523925781,186.19573974609375,329.447265625,94.94527435302734,143.4600067138672,1914.0,19148.130859375,4378.41015625
2023-06-28,330.43621826171875,56.2893180847168,282.23199462890625,187.3739776611328,330.7076416015625,95.35021209716797,143.8820037841797,1912.300048828125,19172.05078125,4376.85986328125
2023-06-29,327.88079833984375,56.2893180847168,280.5431213378906,187.71060180664062,329.919921875,93.6292724609375,144.38900756835938,1909.199951171875,18934.359375,4396.43994140625
2023-06-30,325.9150695800781,56.428077697753906,276.9776916503906,192.04718017578125,335.3258056640625,94.7336196899414,144.77999877929688,1921.0999755859375,18916.4296875,4450.3798828125
2023-07-03,332.2053527832031,57.30687713623047,281.6690368652344,190.55213928222656,332.8148498535156,94.1965560913086,144.3979949951172,1921.699951171875,19306.58984375,4455.58984375
2023-07-04,333.3847961425781,57.58439254760742,284.8591613769531,190.55213928222656,332.8148498535156,94.1965560913086,144.58399963378906,1921.699951171875,19415.6796875,4455.58984375
2023-07-05,329.64990234375,57.02935791015625,279.0418701171875,189.43333435058594,332.972412109375,93.30146789550781,144.406005859375,1919.5999755859375,19110.380859375,4446.81982421875
2023-07-06,321.1973571777344,56.428077697753906,272.0986633300781,189.90858459472656,336.04461669921875,91.98189544677734,144.48899841308594,1908.699951171875,18533.05078125,4411.58984375
2023-07-07,321.00079345703125,56.10430908203125,264.7801513671875,188.78977966308594,332.05670166015625,91.42825317382812,143.9510040283203,1926.199951171875,18365.69921875,4398.9501953125
2023-07-10,323.1630554199219,56.3818244934082,265.3431091308594,186.74032592773438,326.74920654296875,91.54820251464844,142.20899963378906,1925.0,18479.720703125,4409.52978515625
2023-07-11,328.07733154296875,56.196815490722656,268.5332946777344,186.215576171875,327.3793640136719,92.01881408691406,141.2969970703125,1931.300048828125,18659.830078125,4439.259765625
2023-07-12,334.17108154296875,56.798099517822266,272.66162109375,187.88880920410156,332.0369567871094,93.04309844970703,140.1179962158203,1956.199951171875,18860.94921875,4472.16015625
2023-07-13,343.80303955078125,57.49188232421875,284.48382568359375,188.6511688232422,337.413330078125,94.02125549316406,138.31500244140625,1959.199951171875,19350.619140625,4510.0400390625
2023-07-14,346.5550537109375,58.09316635131836,282.7949523925781,188.79966735839844,339.9538269042969,93.46758270263672,138.0749969482422,1960.0999755859375,19413.779296875,4505.419921875
2023-07-18,330.6327819824219,58.231929779052734,276.9776916503906,191.80953979492188,353.98565673828125,93.93819427490234,138.72900390625,1977.199951171875,19015.720703125,4554.97998046875
2023-07-19,327.29107666015625,58.509437561035156,277.5406494140625,193.1659698486328,349.6431884765625,94.99938201904297,139.02699279785156,1977.5,18952.310546875,4565.72021484375
2023-07-20,327.094482421875,59.018218994140625,276.41473388671875,191.21551513671875,341.55889892578125,93.8459243774414,139.59800720214844,1968.300048828125,18928.01953125,4534.8701171875
2023-07-21,327.29107666015625,59.480743408203125,278.66656494140625,190.03732299804688,338.50634765625,93.87358856201172,139.86399841308594,1964.300048828125,19075.259765625,4536.33984375
2023-07-24,319.42822265625,58.925716400146484,272.2863464355469,190.83924865722656,339.82586669921875,93.53217315673828,141.75,1960.300048828125,18668.150390625,4554.64013671875
2023-07-25,339.0853576660156,59.66575241088867,287.11102294921875,191.70065307617188,345.60601806640625,93.35684204101562,141.52200317382812,1962.0999755859375,19434.400390625,4567.4599609375
